width(px),distance(px),mt(ms),mean time,ID
48,40,346,,
48,40,284,,
48,40,218,,
48,40,248,,
48,40,180,,
48,40,188,,
48,40,172,,
48,40,188,228,0.874469118
6,320,946,,
6,320,855,,
6,320,1761,,
6,320,1503,,
6,320,954,,
6,320,710,,
6,320,805,,
6,320,1122,1082,5.763765654
6,40,639,,
6,40,528,,
6,40,435,,
6,40,876,,
6,40,593,,
6,40,315,,
6,40,307,,
6,40,622,539.375,2.938599455
12,40,1058,,
12,40,483,,
12,40,350,,
12,40,344,,
12,40,481,,
12,40,515,,
12,40,346,,
12,40,568,518.125,2.115477217
24,320,430,,
24,320,504,,
24,320,394,,
24,320,354,,
24,320,1110,,
24,320,375,,
24,320,699,,
24,320,448,539.25,3.841302254
6,80,683,,
6,80,713,,
6,80,802,,
6,80,354,,
6,80,810,,
6,80,396,,
6,80,430,,
6,80,452,580,3.841302254
48,80,216,,
48,80,241,,
48,80,238,,
48,80,230,,
48,80,236,,
48,80,233,,
48,80,228,,
48,80,244,233.25,1.415037499
6,160,740,,
6,160,557,,
6,160,785,,
6,160,691,,
6,160,918,,
6,160,786,,
6,160,674,,
6,160,718,733.625,4.790076931
12,80,635,,
12,80,567,,
12,80,646,,
12,80,500,,
12,80,455,,
12,80,676,,
12,80,417,,
12,80,703,574.875,2.938599455
24,40,248,,
24,40,267,,
24,40,254,,
24,40,242,,
24,40,262,,
24,40,721,,
24,40,326,,
24,40,268,323.5,1.415037499
24,160,384,,
24,160,370,,
24,160,317,,
24,160,339,,
24,160,367,,
24,160,359,,
24,160,357,,
24,160,293,348.25,2.938599455
24,80,925,,
24,80,324,,
24,80,298,,
24,80,308,,
24,80,1330,,
24,80,353,,
24,80,378,,
24,80,338,531.75,2.115477217
48,320,303,,
48,320,382,,
48,320,361,,
48,320,368,,
48,320,344,,
48,320,321,,
48,320,353,,
48,320,335,345.875,2.938599455
12,320,597,,
12,320,589,,
12,320,483,,
12,320,590,,
12,320,484,,
12,320,439,,
12,320,482,,
12,320,523,523.375,4.790076931
48,160,286,,
48,160,298,,
48,160,881,,
48,160,390,,
48,160,310,,
48,160,293,,
48,160,311,,
48,160,1597,545.75,2.115477217
12,160,579,,
12,160,603,,
12,160,586,,
12,160,484,,
12,160,735,,
12,160,705,,
12,160,604,,
12,160,914,651.25,3.841302254
