width(px),distance(px),mt(ms),mean time,ID
12,80,612,,
12,80,668,,
12,80,440,,
12,80,1022,,
12,80,546,,
12,80,364,,
12,80,403,,
12,80,407,557.75,2.938599455
6,320,854,,
6,320,526,,
6,320,1183,,
6,320,1005,,
6,320,817,,
6,320,797,,
6,320,535,,
6,320,770,810.875,5.763765654
48,40,266,,
48,40,248,,
48,40,238,,
48,40,237,,
48,40,624,,
48,40,256,,
48,40,233,,
48,40,221,290.375,0.874469118
6,160,882,,
6,160,876,,
6,160,986,,
6,160,532,,
6,160,807,,
6,160,719,,
6,160,589,,
6,160,802,774.125,4.790076931
48,80,225,,
48,80,1127,,
48,80,267,,
48,80,258,,
48,80,670,,
48,80,246,,
48,80,208,,
48,80,231,404,1.415037499
6,40,464,,
6,40,382,,
6,40,299,,
6,40,391,,
6,40,316,,
6,40,353,,
6,40,555,,
6,40,365,390.625,2.938599455
24,40,278,,
24,40,277,,
24,40,826,,
24,40,533,,
24,40,688,,
24,40,329,,
24,40,315,,
24,40,332,447.25,1.415037499
12,320,749,,
12,320,514,,
12,320,615,,
12,320,484,,
12,320,538,,
12,320,464,,
12,320,686,,
12,320,549,574.875,4.790076931
48,320,375,,
48,320,1174,,
48,320,544,,
48,320,571,,
48,320,407,,
48,320,551,,
48,320,555,,
48,320,405,572.75,2.938599455
12,40,277,,
12,40,279,,
12,40,277,,
12,40,289,,
12,40,384,,
12,40,288,,
12,40,739,,
12,40,273,350.75,2.115477217
24,320,970,,
24,320,665,,
24,320,650,,
24,320,1492,,
24,320,654,,
24,320,506,,
24,320,448,,
24,320,454,729.875,3.841302254
12,160,1008,,
12,160,880,,
12,160,534,,
12,160,534,,
12,160,488,,
12,160,573,,
12,160,478,,
12,160,472,620.875,3.841302254
6,80,1225,,
6,80,694,,
6,80,502,,
6,80,500,,
6,80,799,,
6,80,541,,
6,80,635,,
6,80,443,667.375,3.841302254
24,80,594,,
24,80,455,,
24,80,432,,
24,80,330,,
24,80,320,,
24,80,997,,
24,80,286,,
24,80,325,467.375,2.115477217
48,160,618,,
48,160,358,,
48,160,278,,
48,160,347,,
48,160,278,,
48,160,295,,
48,160,267,,
48,160,859,412.5,2.115477217
24,160,551,,
24,160,636,,
24,160,613,,
24,160,503,,
24,160,423,,
24,160,580,,
24,160,526,,
24,160,409,530.125,2.938599455
